
Action Name 
 
NetBeans 
 


 

Bugtracking 
 
Find Tasks...  -  
Report Task...  -  

Build 
 
 -  
Bower Install  -  
Create Shortcut...  -  
Remove Shortcut  -  
Run Target  -  
npm Install  -  

CommonTestRunner 
 
Debug Focused Test Method  -  
Rerun All Tests  -  
Rerun Failed Tests  -  
Run Focused Test Method  -  

DOM 
 
Add DOM Breakpoint  -  
Edit CSS Rules  -  

Database 
 
Execute Command...  -  

Debug 
 
Apply Code Changes  -  
Attach Debugger...  -  
Continue  F5  
Debug  -  
Debug File  Ctrl+Shift+F5  
Debug Main Project  Ctrl+F5  
Debug Test File  Ctrl+Shift+F6  
Evaluate Expression...  Ctrl+F9  
Finish Debugger Session  Shift+F5  
Make Callee Current  Alt+PAGE_UP  
Make Caller Current  Alt+PAGE_DOWN  
New Breakpoint...  Ctrl+Shift+F8  
New Watch...  Ctrl+Shift+F7  
Pause  -  
Pop Topmost Call  -  
Run Into Method  -  
Run to Cursor  F4  
Step Into  F7  
Step Into Next Method  Shift+F7  
Step Out  Ctrl+F7  
Step Over  F8  
Step Over Expression  Shift+F8  
Threads History  Alt+Shift+T  
Toggle Line Breakpoint  Ctrl+F8  

Diff 
 
Ignore Changes In Case  -  
Ignore Changes In Inner Whitespace  -  
Ignore Leading And Trailing Whitespace  -  

Edit 
 
Bookmark History Popup Next  Ctrl+Shift+PERIOD  
Bookmark History Popup Previous  Ctrl+Shift+COMMA  
Bookmarks  -  
Clear Document Bookmarks  -  
Copy  COPY, Ctrl+C, Ctrl+INSERT  
Copy File Path(s)  Alt+Shift+L  
Cut  CUT, Shift+DELETE, Ctrl+X  
Delete Next Character  DELETE  
Find  FIND, Ctrl+F  
Find Next Occurrence  F3  
Find Previous Occurrence  Shift+F3  
Find Selection  Ctrl+F3  
Find in Projects...  Ctrl+Shift+F  
Find...  FIND, Ctrl+F  
Go to Line...  Ctrl+G  
Go to Symbol...  Ctrl+Alt+Shift+O  
Go to Type...  Ctrl+O  
Next Bookmark  -  
Open As...  -  
Open in System  -  
PHP Type Hierarchy  -  
Paste  PASTE, Ctrl+V, Shift+INSERT  
Previous Bookmark  -  
Print to HTML...  -  
Quick Search  Ctrl+I  
Redo  Ctrl+Y, Ctrl+Shift+Z  
Replace  Ctrl+H  
Replace in Projects...  Ctrl+Shift+H  
Replace...  Ctrl+H  
Start Macro Recording  -  
Stop Macro Recording  -  
Toggle Bookmark  Ctrl+Shift+M  
Undo  Ctrl+Z, UNDO  

Editor Macros 
 

File 
 
Close All Projects  -  
Close Other Projects  -  
Page Setup...  -  
Print...  Ctrl+Alt+Shift+P  

Git 
 
Add  -  
Add All - Repository  -  
Apply Stash  -  
Checkout Files...  -  
Checkout Revision...  -  
Cherry Pick...  -  
Clone...  -  
Commit All - Repository...  -  
Commit Project...  -  
Commit...  -  
Create Branch...  -  
Create Tag...  -  
Delete Branch...  -  
Diff All To HEAD - Repository  -  
Diff To HEAD  -  
Diff To Repository HEAD  -  
Diff To Tracked  -  
Diff To...  -  
Exclude From Commit  -  
Export Commit...  -  
Export Uncommitted Changes...  -  
Fetch from Upstream  -  
Fetch...  -  
Ignore  -  
Include In Commit  -  
Initialize Repository...  -  
Manage Tags...  -  
Merge Revision...  -  
Open Configuration  -  
Open Global Configuration  -  
Open Output  -  
Open Repository  -  
Open Status Window  -  
Pull from Upstream  -  
Pull...  -  
Push to Upstream  -  
Push...  -  
Rebase...  -  
Repository Browser  -  
Reset...  -  
Resolve All Conflicts - Repository  -  
Resolve Conflicts  -  
Revert All Modifications - Repository...  -  
Revert Commit...  -  
Revert Modifications...  -  
Set Tracked Branch...  -  
Shelve Changes...  -  
Show All Changes - Repository  -  
Show Annotations  -  
Show Changes  -  
Show History  -  
Show Incoming  -  
Show Incoming for Selection  -  
Show Outgoing  -  
Show Outgoing for Selection  -  
Show Repository History  -  
Stash Changes  -  
Switch To Branch...  -  
Unignore  -  

Go To 
 
Go to Declaration  Ctrl+B  

Help 
 
 F1  
About  -  
Help Contents  -  
Report Issue...  -  
Start Page  -  

History 
 
Revert Deleted  -  
Show History  -  

Images 
 
Open In External Editor  -  

Mercurial 
 
Add  -  
Backout...  -  
Clone - Selected Repository...  -  
Clone Other...  -  
Close Branch...  -  
Commit...  -  
Create Branch...  -  
Create Tag...  -  
Diff To Base  -  
Exclude from Commit  -  
Export Changeset Bundle...  -  
Export Diff...  -  
Export Uncommitted Changes...  -  
Fetch  -  
Import Changesets...  -  
Initialize Repository...  -  
Manage Tags...  -  
Mark as Resolved  -  
Mercurial  -  
Merge Changes  -  
Properties...  -  
Pull All Branches  -  
Pull Current Branch  -  
Pull...  -  
Push All Branches  -  
Push Current Branch  -  
Push...  -  
Rebase...  -  
Resolve Conflicts  -  
Revert Modifications  -  
Rollback  -  
Search History  -  
Shelve Changes...  -  
Show Annotations  -  
Show Changes  -  
Show Incoming  -  
Show Outgoing  -  
Strip...  -  
Switch Branch...  -  
Toggle Ignore  -  
Update...  -  
Verify  -  

Mercurial/Queues 
 
Create Patch...  -  
Diff  -  
Finish Patches...  -  
Go To Patch...  -  
Pop All Patches  -  
Push All Patches  -  
Refresh Patch...  -  

Other 
 
Annotations Cycling  Alt+Shift+C  
Back  Alt+LEFT, Alt+KP_LEFT  
Build Tool Tip  -  
Collapse Fold Tree  Ctrl+DIVIDE  
Complete Line  Ctrl+SEMICOLON  
Complete Line and Create New Line  Ctrl+Shift+SEMICOLON  
Cut from Insertion Point to Line Begining  -  
Cut from Insertion Point to Line End  -  
Delete Line  Ctrl+E  
Delete Next Word  Ctrl+DELETE  
Delete Preceding Characters in Line  -  
Delete Previous Character  Shift+BACK_SPACE, BACK_SPACE  
Delete Previous Word  Ctrl+BACK_SPACE  
Delete Selection  -  
Delete Tab  Shift+TAB  
Dump View Hierarchy  -  
Duplicate Line(s) Down  Ctrl+Shift+KP_DOWN, Ctrl+Shift+DOWN  
Duplicate Line(s) Up  Ctrl+Shift+KP_UP, Ctrl+Shift+UP  
Expand Fold Tree  Ctrl+MULTIPLY, Ctrl+Alt+PLUS  
Extend Selection Backward  Shift+KP_LEFT, Shift+LEFT  
Extend Selection Down  Shift+DOWN, Shift+KP_DOWN  
Extend Selection Forward  Shift+RIGHT, Shift+KP_RIGHT  
Extend Selection Up  Shift+UP, Shift+KP_UP  
Extend Selection to Beginning of Document  Ctrl+Shift+HOME  
Extend Selection to Beginning of Line  -  
Extend Selection to Beginning of Text on Line  Shift+HOME  
Extend Selection to Beginning of Word  -  
Extend Selection to End of Document  Ctrl+Shift+END  
Extend Selection to End of Line  Shift+END  
Extend Selection to End of Word  -  
Extend Selection to First Non-whitespace Char  -  
Extend Selection to Last Non-whitespace Char  -  
Extend Selection to Matching Brace  Ctrl+Shift+OPEN_BRACKET  
Extend Selection to Next Page  Shift+PAGE_DOWN  
Extend Selection to Next Word  Ctrl+Shift+KP_RIGHT, Ctrl+Shift+RIGHT  
Extend Selection to Previous Page  Shift+PAGE_UP  
Extend Selection to Previous Word  Ctrl+Shift+KP_LEFT, Ctrl+Shift+LEFT  
Fast Import  Alt+Shift+I  
Fixes use statements.  Ctrl+Shift+I  
Forward  Alt+RIGHT, Alt+KP_RIGHT  
Go to First Non-whitespace Char  -  
Go to Last Non-whitespace Char  -  
Goto Line or Bookmark ...  Ctrl+G  
Indent  -  
Insert Code  Alt+INSERT  
Insert Current Date and Time  -  
Insert Newline  ENTER  
Insert Tab  TAB  
Insertion Point Backward  LEFT, KP_LEFT  
Insertion Point Down  DOWN, KP_DOWN  
Insertion Point Forward  RIGHT, KP_RIGHT  
Insertion Point Up  KP_UP, UP  
Insertion Point to Beginning of Document  Ctrl+HOME  
Insertion Point to Beginning of Line  -  
Insertion Point to Beginning of Text on Line  HOME  
Insertion Point to Beginning of Word  -  
Insertion Point to End of Document  Ctrl+END  
Insertion Point to End of Line  END  
Insertion Point to End of Word  -  
Insertion Point to Matching Brace  Ctrl+OPEN_BRACKET  
Insertion Point to Next Word  Ctrl+RIGHT, Ctrl+KP_RIGHT  
Insertion Point to Previous Word  Ctrl+LEFT, Ctrl+KP_LEFT  
Last edit  Ctrl+Q  
Margin  -  
Move Code Element Down  Alt+Shift+PAGE_DOWN  
Move Code Element Up  Alt+Shift+PAGE_UP  
Move Insertion Point to Bottom  Alt+Shift+END  
Move Insertion Point to Center  Alt+Shift+INSERT  
Move Insertion Point to Top  Alt+Shift+HOME  
Move Line(s) Down  Alt+Shift+DOWN, Alt+Shift+KP_DOWN  
Move Line(s) Up  Alt+Shift+KP_UP, Alt+Shift+UP  
Navigate to Next Occurrence  Alt+DOWN  
Navigate to Previous Occurrence  Alt+UP  
PHP: Go to Action or View  -  
Page Down  PAGE_DOWN  
Page Up  PAGE_UP  
Paste Formatted  Ctrl+Shift+V  
Paste from History  Ctrl+Shift+D  
Re-format Current Line or Selection  -  
Re-indent Current Line or Selection  -  
Remove Trailing Spaces  -  
Rename  Ctrl+R  
Run Macro  -  
Scroll Down  Ctrl+KP_UP, Ctrl+UP  
Scroll Insertion Point to Bottom  -  
Scroll Insertion Point to Center  -  
Scroll Insertion Point to Top  -  
Scroll Up  Ctrl+KP_DOWN, Ctrl+DOWN  
Select All  Ctrl+A  
Select Database Connection  -  
Select Identifier  Alt+Shift+J  
Select Line  -  
Select Next Element  Alt+Shift+PERIOD  
Select Next Parameter  -  
Select Previous Element  Alt+Shift+COMMA  
Select Word  -  
Show All Code Completion Popup  Ctrl+Alt+BACK_SLASH, Ctrl+Alt+SPACE  
