
Action Name 
 
NetBeans 5.5 
 


 

Bugtracking 
 
Find Tasks...  -  
Report Task...  -  

Build 
 
 -  
Bower Install  -  
Create Shortcut...  -  
Remove Shortcut  -  
Run Target  -  
npm Install  -  

CommonTestRunner 
 
Debug Focused Test Method  -  
Rerun All Tests  -  
Rerun Failed Tests  -  
Run Focused Test Method  -  

DOM 
 
Add DOM Breakpoint  -  
Edit CSS Rules  -  

Database 
 
Execute Command...  -  

Debug 
 
Apply Code Changes  -  
Attach Debugger...  -  
Continue  Ctrl+F5  
Debug  -  
Debug File  Ctrl+Shift+F5  
Debug Main Project  F5  
Debug Test File  Ctrl+Shift+F6  
Evaluate Expression...  Ctrl+F9  
Finish Debugger Session  Shift+F5  
Make Callee Current  Ctrl+Alt+UP  
Make Caller Current  Ctrl+Alt+DOWN  
New Breakpoint...  Ctrl+Shift+F8  
New Watch...  Ctrl+Shift+F7  
Pause  -  
Pop Topmost Call  -  
Run Into Method  -  
Run to Cursor  F4  
Step Into  F7  
Step Into Next Method  Shift+F7  
Step Out  Ctrl+F7  
Step Over  F8  
Step Over Expression  Shift+F8  
Threads History  Alt+Shift+T  
Toggle Line Breakpoint  Ctrl+F8  

Diff 
 
Ignore Changes In Case  -  
Ignore Changes In Inner Whitespace  -  
Ignore Leading And Trailing Whitespace  -  

Edit 
 
Bookmark History Popup Next  F2  
Bookmark History Popup Previous  Shift+F2  
Bookmarks  -  
Clear Document Bookmarks  -  
Copy  COPY, Ctrl+C, Ctrl+INSERT  
Copy File Path(s)  Alt+Shift+L  
Cut  CUT, Shift+DELETE, Ctrl+X  
Delete Next Character  DELETE  
Find  FIND, Ctrl+F  
Find Next Occurrence  F3  
Find Previous Occurrence  Shift+F3  
Find Selection  Ctrl+F3  
Find in Projects...  Ctrl+Shift+F  
Find...  FIND, Ctrl+F  
Go to Line...  Ctrl+G  
Go to Symbol...  -  
Go to Type...  Alt+Shift+O  
Next Bookmark  -  
Open As...  -  
Open in System  -  
PHP Type Hierarchy  -  
Paste  PASTE, Ctrl+V, Shift+INSERT  
Previous Bookmark  -  
Print to HTML...  -  
Quick Search  Ctrl+I  
Redo  Ctrl+Y  
Replace  Ctrl+H  
Replace in Projects...  Ctrl+Shift+H  
Replace...  Ctrl+H  
Start Macro Recording  Ctrl+J S  
Stop Macro Recording  Ctrl+J E  
Toggle Bookmark  Ctrl+F2  
Undo  Ctrl+Z, UNDO  

Editor Macros 
 

File 
 
Close All Projects  -  
Close Other Projects  -  
Page Setup...  -  
Print...  Ctrl+Alt+Shift+P  

Git 
 
Add  -  
Add All - Repository  -  
Apply Stash  -  
Checkout Files...  -  
Checkout Revision...  -  
Cherry Pick...  -  
Clone...  -  
Commit All - Repository...  -  
Commit Project...  -  
Commit...  -  
Create Branch...  -  
Create Tag...  -  
Delete Branch...  -  
Diff All To HEAD - Repository  -  
Diff To HEAD  -  
Diff To Repository HEAD  -  
Diff To Tracked  -  
Diff To...  -  
Exclude From Commit  -  
Export Commit...  -  
Export Uncommitted Changes...  -  
Fetch from Upstream  -  
Fetch...  -  
Ignore  -  
Include In Commit  -  
Initialize Repository...  -  
Manage Tags...  -  
Merge Revision...  -  
Open Configuration  -  
Open Global Configuration  -  
Open Output  -  
Open Repository  -  
Open Status Window  -  
Pull from Upstream  -  
Pull...  -  
Push to Upstream  -  
Push...  -  
Rebase...  -  
Repository Browser  -  
Reset...  -  
Resolve All Conflicts - Repository  -  
Resolve Conflicts  -  
Revert All Modifications - Repository...  -  
Revert Commit...  -  
Revert Modifications...  -  
Set Tracked Branch...  -  
Shelve Changes...  -  
Show All Changes - Repository  -  
Show Annotations  -  
Show Changes  -  
Show History  -  
Show Incoming  -  
Show Incoming for Selection  -  
Show Outgoing  -  
Show Outgoing for Selection  -  
Show Repository History  -  
Stash Changes  -  
Switch To Branch...  -  
Unignore  -  

Go To 
 
Go to Declaration  Alt+G  

Help 
 
 F1  
About  -  
Help Contents  -  
Report Issue...  -  
Start Page  -  

History 
 
Revert Deleted  -  
Show History  -  

Images 
 
Open In External Editor  -  

Mercurial 
 
Add  -  
Backout...  -  
Clone - Selected Repository...  -  
Clone Other...  -  
Close Branch...  -  
Commit...  -  
Create Branch...  -  
Create Tag...  -  
Diff To Base  -  
Exclude from Commit  -  
Export Changeset Bundle...  -  
Export Diff...  -  
Export Uncommitted Changes...  -  
Fetch  -  
Import Changesets...  -  
Initialize Repository...  -  
Manage Tags...  -  
Mark as Resolved  -  
Mercurial  -  
Merge Changes  -  
Properties...  -  
Pull All Branches  -  
Pull Current Branch  -  
Pull...  -  
Push All Branches  -  
Push Current Branch  -  
Push...  -  
Rebase...  -  
Resolve Conflicts  -  
Revert Modifications  -  
Rollback  -  
Search History  -  
Shelve Changes...  -  
Show Annotations  -  
Show Changes  -  
Show Incoming  -  
Show Outgoing  -  
Strip...  -  
Switch Branch...  -  
Toggle Ignore  -  
Update...  -  
Verify  -  

Mercurial/Queues 
 
Create Patch...  -  
Diff  -  
Finish Patches...  -  
Go To Patch...  -  
Pop All Patches  -  
Push All Patches  -  
Refresh Patch...  -  

Other 
 
Annotations Cycling  Ctrl+Shift+C  
Back  Alt+K  
Build Tool Tip  -  
Collapse Fold Tree  -  
Complete Line  -  
Complete Line and Create New Line  -  
Cut from Insertion Point to Line Begining  -  
Cut from Insertion Point to Line End  -  
Delete Line  Ctrl+E  
Delete Next Word  Ctrl+DELETE  
Delete Preceding Characters in Line  Ctrl+U  
Delete Previous Character  Shift+BACK_SPACE, BACK_SPACE  
Delete Previous Word  Ctrl+BACK_SPACE  
Delete Selection  -  
Delete Tab  Shift+TAB  
Dump View Hierarchy  -  
Duplicate Line(s) Down  Ctrl+Shift+DOWN  
Duplicate Line(s) Up  Ctrl+Shift+UP  
Expand Fold Tree  -  
Extend Selection Backward  Shift+LEFT  
Extend Selection Down  Shift+DOWN  
Extend Selection Forward  Shift+RIGHT  
Extend Selection Up  Shift+UP  
Extend Selection to Beginning of Document  Ctrl+Shift+HOME  
Extend Selection to Beginning of Line  -  
Extend Selection to Beginning of Text on Line  Shift+HOME  
Extend Selection to Beginning of Word  -  
Extend Selection to End of Document  Ctrl+Shift+END  
Extend Selection to End of Line  Shift+END  
Extend Selection to End of Word  -  
Extend Selection to First Non-whitespace Char  -  
Extend Selection to Last Non-whitespace Char  -  
Extend Selection to Matching Brace  Ctrl+Shift+OPEN_BRACKET  
Extend Selection to Next Page  Shift+PAGE_DOWN  
Extend Selection to Next Word  Ctrl+Shift+RIGHT  
Extend Selection to Previous Page  Shift+PAGE_UP  
Extend Selection to Previous Word  Ctrl+Shift+LEFT  
Fast Import  Alt+Shift+I  
Fixes use statements.  -  
Forward  Alt+L  
Go to First Non-whitespace Char  -  
Go to Last Non-whitespace Char  -  
Goto Line or Bookmark ...  Ctrl+G  
Indent  -  
Insert Code  Alt+INSERT  
Insert Current Date and Time  -  
Insert Newline  ENTER  
Insert Tab  TAB  
Insertion Point Backward  LEFT, KP_LEFT  
Insertion Point Down  DOWN, KP_DOWN  
Insertion Point Forward  RIGHT, KP_RIGHT  
Insertion Point Up  KP_UP, UP  
Insertion Point to Beginning of Document  Ctrl+HOME  
Insertion Point to Beginning of Line  -  
Insertion Point to Beginning of Text on Line  HOME  
Insertion Point to Beginning of Word  -  
Insertion Point to End of Document  Ctrl+END  
Insertion Point to End of Line  END  
Insertion Point to End of Word  Alt+U E  
Insertion Point to Matching Brace  Ctrl+OPEN_BRACKET  
Insertion Point to Next Word  Ctrl+RIGHT  
Insertion Point to Previous Word  Ctrl+LEFT  
Last edit  Ctrl+Q  
Margin  -  
Move Code Element Down  -  
Move Code Element Up  -  
Move Insertion Point to Bottom  Alt+Shift+B  
Move Insertion Point to Center  Alt+Shift+M  
Move Insertion Point to Top  Alt+Shift+T  
Move Line(s) Down  Alt+DOWN  
Move Line(s) Up  Alt+UP  
Navigate to Next Occurrence  -  
Navigate to Previous Occurrence  -  
PHP: Go to Action or View  -  
Page Down  PAGE_DOWN  
Page Up  PAGE_UP  
Paste Formatted  Ctrl+Shift+V  
Paste from History  -  
Re-format Current Line or Selection  -  
Re-indent Current Line or Selection  -  
Remove Trailing Spaces  -  
Rename  Ctrl+R  
Run Macro  -  
Scroll Down  Ctrl+UP  
Scroll Insertion Point to Bottom  Alt+U B  
Scroll Insertion Point to Center  Alt+U M  
Scroll Insertion Point to Top  Alt+U T  
Scroll Up  Ctrl+DOWN  
Select All  Ctrl+A  
Select Database Connection  -  
Select Identifier  Alt+J  
Select Line  -  
Select Next Element  Alt+Shift+S  
Select Next Parameter  -  
Select Previous Element  Alt+Shift+A  
Select Word  -  
Show All Code Completion Popup  Ctrl+Alt+BACK_SLASH, Ctrl+Alt+SPACE  
Show Breadcrumbs  -  
Show Code Completion Popup  Ctrl+SPACE, Ctrl+BACK_SLASH  
Show Documentation Popup  Ctrl+Shift+BACK_SLASH, Ctrl+Shift+SPACE  
Show Indent Guide Lines  -  
Show Method Parameters  Ctrl+P  
Split Line  Ctrl+ENTER  
Start New Line  Shift+ENTER  
Switch Capitalization of Identifier  -  
Switch Case  Alt+U R  
To Lowercase  Alt+U L  
To Uppercase  Alt+U U  
Toggle Highlight Search  Alt+Shift+H  
Toggle Line Numbers  -  
Toggle Non-printable Characters  -  
Toggle Rectangular Selection  -  
Toggle Toolbar  -  
Toggle Typing Mode  INSERT  
Transpose Letters  -  
XML Comment  -  
XML Dump  -  
XML Uncomment  -  
Zoom Text In  -  
Zoom Text Out  -  
toggle-comment  -  

